No,classification,PGR,P-PET,Leak,GW_Abs,Pop_den,Irri_int,Aquifer
357,No trend,348.9273376,348.7020264,8.174,41.78,93.507419,1,Chalk
358,Increasing,64.51989746,119.9655609,3.332,13.058,47.30338293,101,Oolites
359,Increasing,281.3539124,185.3778839,9.786,16.604,65.97626174,251,Triassic Sandstone
360,No trend,336.3143311,307.7279663,3.811,9.611,225.5332591,51,Permian Sandstone
361,Increasing,272.5954285,221.7526703,36.032,42.555,77.02393459,51,Chalk
362,Increasing,415.7403259,309.8642883,7.969,9.611,197.8840881,51,Oolites
363,Decreasing,342.8695068,208.7088623,4.512,16.604,46.40842888,501,Unallocated to aquifers
364,No trend,145.2631531,59.57088089,8.59,16.604,1315.255355,2501,Triassic Sandstone
365,No trend,27.62658119,68.57282257,3.332,13.058,131.9030205,751,Oolites
366,No trend,27.62658119,68.57282257,3.332,13.058,134.0513054,751,Oolites
367,No trend,112.6701889,74.83898163,3.332,13.058,124.9738445,751,Oolites
368,No trend,16.96375275,80.66737366,3.332,13.058,102.9522695,751,Oolites
369,No trend,112.6701889,77.44075012,3.332,13.058,107.8357307,751,Oolites
