No,label,trend classification,ts_slope (cm/year),piecewise_R2,sudden change windows span,sudden change window start year,sudden change window end year
2005,Thoresthorpe,No trend,1.660511364,0.576519246,23,10/1/1978,10/1/2000
2006,Abrams Lane,No trend,1.87,0.047968955,1,10/1/2001,10/1/2001
2007,Allnuts Hospital,Slow decreasing,3.933223684,0.207881584,40,10/1/1978,10/1/2017
2008,Peddars Way South,Slow decreasing,4.123169192,0.191188545,5,10/1/2001,10/1/2005
2009,Silver Street,Slow increasing,-3.038461538,0.075467368,41,10/1/1983,10/1/2023
2010,Model Farm,No trend,0.019791667,0.011722394,59,10/1/1964,10/1/2022
2011,Swan House,Slow increasing,-3.476720735,0.145656232,31,10/1/1992,10/1/2022
2012,Keepers Wood,No trend,-0.154761905,0.274561428,1,10/1/1983,10/1/1983
2013,Graces Farm,No trend,-0.101190476,0.223892663,2,10/1/2022,10/1/2023
2014,EggingtonCreamery,No trend,0.158952242,0.00936207,19,10/1/1972,10/1/1990
2015,Wiggonholt,Slow increasing,-3.592498647,0.619406734,29,10/1/1995,10/1/2023
2016,Whiteladies,No trend,-0.626262626,0.079378019,51,10/1/1952,10/1/2002
2017,Dale Farm,No trend,0.490909091,0.126779379,2,10/1/2022,10/1/2023
2018,Woodlands Park,Slow increasing,-3.094202899,0.048210215,28,10/1/1996,10/1/2023
2019,Sunnyside,No trend,0.08109834,0.033878303,4,10/1/2011,10/1/2014
2020,Oxton,Slow decreasing,3.313492063,0.603001527,23,10/1/1969,10/1/1991
2021,Merrington Grange,Slow decreasing,6.119318182,0.297709904,33,10/1/1982,10/1/2014
2022,Lordship Stud,Slow decreasing,8.776342507,0.152342818,1,10/1/2003,10/1/2003
2023,Lomer Farm,No trend,0,0.059081975,2,10/1/1977,10/1/1978
2024,Catfield Hall,Slow increasing,-3.353073961,0.716680983,13,10/1/2011,10/1/2023
2025,Bradmer Hill,Slow decreasing,10.18229167,0.773427235,16,10/1/1995,10/1/2010
2026,The Oaks,Slow decreasing,2.635930736,0.136889506,1,10/1/2002,10/1/2002
2027,Barlby Road,Sudden upward change,-24.08387075,0.952630424,4,10/1/2005,10/1/2008
2028,Chilgrove House,No trend,-0.736363636,0.012652999,76,1837-10-01 00:00:00,10/1/1912
2029,Parrs Barn,Slow increasing,-4.172908232,0.096359145,30,10/1/1994,10/1/2023
2030,Graylingwell,No trend,-0.261049881,0.157615037,4,10/1/1998,10/1/2001
2031,Hadnall,No trend,1.448439734,0.040389816,23,10/1/2001,10/1/2023
2032,Hadnall 1,Slow decreasing,2.521012411,0.283803899,15,10/1/2008,10/1/2022
2033,Hadnall 2,Slow decreasing,3.039598705,0.136337439,20,10/1/2003,10/1/2022
2034,Blakedown,Slow increasing,-5.709183666,0.651994799,21,10/1/1999,10/1/2019
2035,Bowling Green Lane,No trend,-1.500640201,0.087234943,24,10/1/1997,10/1/2020
2036,Halifax Thrum Hall,Slow increasing,-9.513137867,0.891360073,17,10/1/2004,10/1/2020
2037,Six Bells,Slow decreasing,2.777777778,0.319695109,19,10/1/2000,10/1/2018
2038,Broadley Wood,Slow decreasing,2.325357445,0.025859511,15,10/1/2008,10/1/2022
2039,Milton Farm,Slow increasing,-3.454760818,0.364455688,30,10/1/1994,10/1/2023
2040,Hockering,Slow decreasing,5.397727273,0.670573646,2,10/1/1995,10/1/1996
2041,Five House Farm,Slow increasing,-5.294202899,0.325736046,24,10/1/1997,10/1/2020
2043,Chalk dale Owslebury,No trend,-1.705410354,0.085223063,28,10/1/1996,10/1/2023
2044,Sandford Godshill,Slow decreasing,5.937934346,0.688398604,45,10/1/1977,10/1/2021
2045,Burton,Slow increasing,-3.735294118,0.722747586,25,10/1/1995,10/1/2019
2046,Hillington,No trend,-1.566051136,0.136527208,15,10/1/1999,10/1/2013
2047,Wain Wood,Slow decreasing,10.39529915,0.147229422,18,10/1/2001,10/1/2018
2048,Itchen Abbas,No trend,-0.022696477,0.047617165,13,10/1/2011,10/1/2023
2049,Little Weighton,Slow decreasing,2.215711806,0.131959772,8,10/1/2002,10/1/2009
2050,Marsh Lane,No trend,-1.030943107,0.315401823,6,10/1/2017,10/1/2022
2052,Catshill,Slow increasing,-39.67845118,0.936921657,20,10/1/2002,10/1/2021
2053,Westfield Farm Norton,No trend,0.052825553,0.113213858,17,10/1/2006,10/1/2022
2054,High Laver House,Slow increasing,-11.39015152,0.056183288,31,10/1/1991,10/1/2021
2055,Beechwood Park,No trend,0.597691198,0.007737639,12,10/1/1994,10/1/2005
2056,Walker Riverside,Slow increasing,-34.34431075,0.994511479,18,10/1/1996,10/1/2013
2057,North Rauceby,No trend,-0.033333333,0.247215984,4,10/1/1972,10/1/1975
2058,Hatherden Cottage,No trend,-1.641482052,0.081335229,2,10/1/2022,10/1/2023
2059,Chipstead,No trend,0.652530021,0.152208137,1,10/1/2003,10/1/2003
2060,Newgate,No trend,-1.27972028,0.524374594,21,10/1/1993,10/1/2013
2061,Clay Street,No trend,0.304144385,0.326166541,2,10/1/1992,10/1/1993
2062,Grafton,No trend,0.238469173,0.002835897,28,10/1/1994,10/1/2021
2063,Grafton,No trend,1.446581197,0.487629809,5,10/1/1988,10/1/1992
2064,Hartley Court Farm,Sudden upward change,-44.34307359,0.953998623,3,10/1/2008,10/1/2010
2065,Nine Yews,Slow increasing,-4.343685919,0.127698472,33,10/1/1991,10/1/2023
2066,Haugh North,No trend,-0.773789983,0.169936141,2,10/1/1979,10/1/1980
2067,Wyatts Cottage,No trend,-0.754449254,0.035279267,47,10/1/1974,10/1/2020
2068,The Carr,No trend,0.90167298,0.284357974,18,10/1/2002,10/1/2019
2069,Frying pan Lodge,Slow decreasing,9.598072067,0.224454527,3,10/1/2002,10/1/2004
2070,Great Durnford,No trend,0.262697361,0.047171289,9,10/1/2007,10/1/2015
2071,Sandholme Bridge,Slow increasing,-6.024796652,0.562762529,25,10/1/1974,10/1/1998
2072,Orchard House 2,No trend,-0.25,0.717910208,5,10/1/1995,10/1/1999
