No,label,trend classification,ts_slope (cm/year),piecewise_R2,sudden change windows span,sudden change window start year,sudden change window end year
873,Ampney Crucis,No trend,-0.362506584,0.109410568,17,10/1/2007,10/1/2023
874,Bushy Bottom,No trend,-0.877008724,0.043175031,47,10/1/1977,10/1/2023
875,The Old Station,No trend,-0.811123867,0.133296049,27,10/1/1995,10/1/2021
876,Little Chishill,Slow decreasing,11.39098532,0.279279236,50,10/1/1969,10/1/2018
877,Petworth Road Witley,Slow increasing,-5.83968254,0.533222385,28,10/1/1996,10/1/2023
878,Beaulieu,Slow decreasing,18.66994212,0.324409608,14,10/1/2008,10/1/2021
879,Hollybush Farm,Slow decreasing,3.155128205,0.054254061,38,10/1/1979,10/1/2016
880,Ellerdine Heath,No trend,-0.218799397,0.000202286,26,10/1/1993,10/1/2018
882,Shoreham Downsway,Slow increasing,-4.007187063,0.459579352,9,10/1/2005,10/1/2013
883,Foxcovert Plantation,Slow increasing,-12.39377289,0.843982347,45,10/1/1979,10/1/2023
884,Abbotstone Down,No trend,0.017361111,0.000853178,45,10/1/1976,10/1/2020
885,Middle Wallop,Slow increasing,-9.233506944,0.087232089,9,10/1/2005,10/1/2013
886,Bourne Park,No trend,-0.100641026,0.004427349,40,10/1/1984,10/1/2023
888,Crows Nest Cottage,No trend,1.916666667,0.868013648,21,10/1/1963,10/1/1983
889,Twelve Acre Wood,No trend,1.223937747,0.160682908,2,10/1/2003,10/1/2004
890,Hardwick Hall,No trend,-1.111965719,0.904615376,18,10/1/1993,10/1/2010
891,Cricklade,Sudden upward change,-30.08512545,0.849840598,2,10/1/2003,10/1/2004
892,Cocking Hoefield Lane,Slow increasing,-3.862316078,0.089297035,14,10/1/2010,10/1/2023
895,Bockhampton,No trend,0.165432236,0.028060774,6,10/1/2018,10/1/2023
896,Bordon,Slow decreasing,3.442144586,0.365418719,9,10/1/2002,10/1/2010
897,Clent,No trend,0.397727273,0.077867436,1,10/1/1980,10/1/1980
898,Stubbers Green,Slow increasing,-3.170271164,0.540363029,13,10/1/1997,10/1/2009
899,Luccombe Copse,Slow increasing,-4.856060606,0.257406,17,10/1/2007,10/1/2023
900,North Court Wood,No trend,-1.477446298,0.196850352,6,10/1/1980,10/1/1985
901,Brock Cottage,No trend,1.648618369,0.104879048,20,10/1/1999,10/1/2018
902,Neylands Farm,No trend,-0.10745614,0.024803039,46,10/1/1972,10/1/2017
903,Crabwood,No trend,-1.88287037,0.1538137,5,10/1/2019,10/1/2023
904,Crabwood Deep,Slow increasing,-3.910695187,0.048898277,26,10/1/1998,10/1/2023
905,Robinsons End,Sudden upward change,-6.941339869,0.969702838,12,10/1/1975,10/1/1986
906,Dudgrove Farm,No trend,-1.012472767,0.172763675,21,10/1/2003,10/1/2023
907,St Edmunds College,No trend,1.611386139,0.149456183,12,10/1/1969,10/1/1980
908,Fowley Common,Slow increasing,-6.034922395,0.823511022,24,10/1/1997,10/1/2020
909,Thompson,Slow decreasing,3.365668044,0.122995659,2,10/1/2002,10/1/2003
911,Bourne Park Ipswich,No trend,-0.078508297,0.069147666,50,10/1/1973,10/1/2022
912,Upper Fudges,No trend,-0.708950617,0.030417767,40,10/1/1975,10/1/2014
913,Kings Somborne,No trend,-0.738176217,0.068810028,34,10/1/1990,10/1/2023
914,Nutley,Slow increasing,-4.155,0.204239281,45,10/1/1976,10/1/2020
915,St Johns Ravenscroft,No trend,-1.333333333,0.769834558,1,10/1/1992,10/1/1992
916,North Cottage,Slow decreasing,6.278106399,0.131198359,50,10/1/1966,10/1/2015
917,Jubilee Cottage,Slow decreasing,5.247294372,0.486915625,19,10/1/2001,10/1/2019
918,Hatchwood House,No trend,0.260416667,0.009678249,2,10/1/2005,10/1/2006
919,Forge Lane,Slow increasing,-3.88097148,0.12903304,17,10/1/2005,10/1/2021
920,Dagnall,Slow decreasing,3.731565657,0.015665491,31,10/1/1987,10/1/2017
921,Ratcher Hill,Slow increasing,-10.98412698,0.748516522,20,10/1/2004,10/1/2023
922,Scruton Village,Sudden downward change,2.172043011,0.760486173,10,10/1/1985,10/1/1994
923,Hesley Hall,Slow increasing,-5.854166667,0.760141749,28,10/1/1996,10/1/2023
924,Dyke Bridge,Slow decreasing,8.613095238,0.389626866,30,10/1/1993,10/1/2022
925,Windwhistle,Slow increasing,-9.610814621,0.151278389,2,10/1/2011,10/1/2012
926,Bucklebury,No trend,-1.411085244,0.088008198,34,10/1/1990,10/1/2023
927,Edgmond Marsh,Slow decreasing,3.341886608,0.409193666,3,10/1/1988,10/1/1990
930,Atworth 4,Slow increasing,-26.83901515,0.121063301,16,10/1/2008,10/1/2023
931,Atworth 5,Slow increasing,-12.20183405,0.414790038,17,10/1/2007,10/1/2023
932,Stretton Mill,No trend,0.248271363,0.075353846,2,10/1/2009,10/1/2010
933,Malmesbury,No trend,-1.509469697,0.202091104,34,10/1/1989,10/1/2022
934,Walkington Wold,Slow increasing,-6.539215686,0.288722394,36,10/1/1988,10/1/2023
935,George Hill,No trend,0.157875979,0.058083131,3,10/1/1982,10/1/1984
937,Telegraph Hill,Slow decreasing,2.104166667,0.098313504,20,10/1/1999,10/1/2018
938,Waterworks Farm 2,Slow increasing,-2.074264706,0.164140855,17,10/1/2007,10/1/2023
939,Barbury farm,Slow decreasing,4.863643484,0.217893931,48,10/1/1974,10/1/2021
940,Cherry Acre,Slow increasing,-3.56068272,0.033467885,33,10/1/1991,10/1/2023
941,Woodlands Farm,No trend,0.252440302,0.000149187,41,10/1/1982,10/1/2022
942,Grange Farm Sprowston,No trend,-0.034970625,0.000534575,71,10/1/1952,10/1/2022
943,Sapperton Tunnel,Slow increasing,-35.91437096,0.47907647,11,10/1/2010,10/1/2020
944,Alton Town,No trend,-0.560699566,0.179891649,2,10/1/2018,10/1/2019
945,Ward Homes,Slow increasing,-3.769469697,0.367535431,14,10/1/1995,10/1/2008
946,Upper Barpham,No trend,0.211469534,0.199329213,4,10/1/1982,10/1/1985
947,Charing 4B,No trend,0.005699856,0.084712855,2,10/1/2009,10/1/2010
948,Charing 6,No trend,1.072777778,0.277962625,18,10/1/1998,10/1/2015
949,Hayton Hill,Slow increasing,-8.932069444,0.67369175,29,10/1/1994,10/1/2022
950,Low Copelaw,Sudden upward change,-3.534845461,0.91020394,4,10/1/1975,10/1/1978
951,Great Heck Station,No trend,0.823905724,0.287339511,23,10/1/1969,10/1/1991
952,Plawsworth,Sudden upward change,-139.6424688,0.959407109,9,10/1/1998,10/1/2006
953,North End,Slow decreasing,2.778846154,0.373357774,10,10/1/2000,10/1/2009
954,Potterhanworth,No trend,-0.493421053,0.079088594,19,10/1/2005,10/1/2023
955,Thrandeston Lane,No trend,-0.347853535,0.329052306,1,10/1/1993,10/1/1993
956,Priory Deep,No trend,-0.163646278,0.133803655,4,10/1/2000,10/1/2003
957,Coldharbour Farm,Slow decreasing,6.674603175,0.113536322,37,10/1/1974,10/1/2010
958,Holmbush,Slow increasing,-7.617149758,0.175069953,52,10/1/1972,10/1/2023
959,Bromborough,Slow increasing,-37.69642857,0.96507538,28,10/1/1985,10/1/2012
960,Whitlands,No trend,-0.162528894,0.075079883,2,10/1/1992,10/1/1993
961,Ball Hill,Slow decreasing,17.18380952,0.395710668,46,10/1/1977,10/1/2022
962,Barmby Barrage,No trend,-1.902815614,0.216810432,15,10/1/2006,10/1/2020
963,Eastburn Warren,No trend,-0.607118056,0.028026911,51,10/1/1973,10/1/2023
964,Tortington,Slow increasing,-3.419295067,0.18237019,9,10/1/1991,10/1/1999
965,Jockey Green,No trend,0.192375501,0.005599351,15,10/1/1970,10/1/1984
967,North Marden,No trend,-0.760069444,0.112320863,49,10/1/1975,10/1/2023
968,East Brownrigg,Slow increasing,-2.361724389,0.117449887,48,10/1/1976,10/1/2023
969,Lawn Cottage Buriton,Slow increasing,-7.523809524,0.124930297,33,10/1/1991,10/1/2023
970,Burntwood Farm,No trend,-1.012327824,0.006106277,32,10/1/1989,10/1/2020
971,East Wretham,Slow decreasing,4.200854701,0.317280747,19,10/1/2000,10/1/2018
972,Lea Newbold,Slow decreasing,2.154695319,0.674315747,4,10/1/2007,10/1/2010
973,Moat Farm,No trend,1.609848485,0.139282495,18,10/1/2001,10/1/2018
974,Highpost,Slow increasing,-4.010056154,0.039500846,16,10/1/2005,10/1/2020
975,The Hollins Farm,No trend,0.918003565,0.183794399,7,10/1/2016,10/1/2022
976,Guston Farm,No trend,-0.656114311,0.229974858,34,10/1/1981,10/1/2014
977,Bass Charrington,No trend,-0.213473102,0.028591936,49,10/1/1975,10/1/2023
978,Baileys Down,No trend,-0.746556021,0.009976892,61,10/1/1963,10/1/2023
979,Spring Hall,Slow decreasing,3.702469136,0.096997722,19,10/1/2000,10/1/2018
980,Fairfields Sandstone,Slow increasing,-4.099593154,0.854317526,22,10/1/1991,10/1/2012
981,Fernbank,Slow increasing,-4.960590083,0.189678813,33,10/1/1988,10/1/2020
982,Barley Road,Slow decreasing,8.611111111,0.222488673,3,10/1/2002,10/1/2004
983,St. Lawrence Laundry,No trend,0.269743835,0.177118582,6,10/1/1974,10/1/1979
984,New Barn Farm,Slow increasing,-2.314049587,0.085631437,36,10/1/1988,10/1/2023
985,Rougham Place,Slow decreasing,16.28205128,0.495276874,19,10/1/2001,10/1/2019
986,Winterbourne Bassett,No trend,-0.549835717,0.004647514,51,10/1/1972,10/1/2022
987,Spurlands End,Slow increasing,-28.4125,0.242347492,33,10/1/1991,10/1/2023
988,Newhouse Farm,Sudden upward change,-5.773809524,0.920976146,13,10/1/2011,10/1/2023
989,Heath Cottage,No trend,1.392171717,0.060439434,17,10/1/2000,10/1/2016
990,Shaftenhoe,Slow decreasing,13.44823232,0.040947975,18,10/1/2001,10/1/2018
991,London Road Sittingbourne,No trend,-1.120165945,0.042158211,19,10/1/1996,10/1/2014
992,Hulls Mill Farm,Slow decreasing,2.984722222,0.349987588,35,10/1/1985,10/1/2019
993,Meres Farm,No trend,0.518453768,0.532901445,25,10/1/1980,10/1/2004
994,Beach Road,Sudden downward change,13.05555556,0.941819768,4,10/1/2006,10/1/2009
995,Millbank College,Slow increasing,-2.701449275,0.415640489,17,10/1/2005,10/1/2021
997,Home Mere,Slow decreasing,16.15555556,0.464421108,19,10/1/2000,10/1/2018
998,Able Bridge,Slow increasing,-9.357565756,0.391747714,11,10/1/2009,10/1/2019
999,North Thoresby,No trend,-0.737244237,0.037797585,52,10/1/1964,10/1/2015
1000,West Tytherley,No trend,1.203125,0.015380211,49,10/1/1974,10/1/2022
1001,Quarrendon Mill,Slow increasing,-2.256944444,0.190560087,6,10/1/2018,10/1/2023
1002,Beadlam Grange,Slow increasing,-4.708135372,0.16511037,36,10/1/1988,10/1/2023
1003,Upper Enham,No trend,-0.565340909,0.007241782,22,10/1/1991,10/1/2012
1004,Newbury,No trend,-0.630291949,0.132526064,30,10/1/1990,10/1/2019
1005,Westmill,No trend,0.027777778,0.05588732,12,10/1/1993,10/1/2004
1006,Store Road,No trend,-1.93587963,0.153390765,31,10/1/1992,10/1/2022
1007,Brackenwood Wirral,Slow increasing,-14.0464524,0.968173626,17,10/1/2004,10/1/2020
1008,Crathorne Grange,No trend,1.213319088,0.83497447,15,10/1/1981,10/1/1995
1009,Ellerdine Grange,No trend,-0.30528372,0.116780352,1,10/1/2011,10/1/2011
1010,Abridge,Slow increasing,-7.203227931,0.643230159,38,10/1/1986,10/1/2023
1011,Kettlebaston,No trend,0.318470861,0.108563665,40,10/1/1980,10/1/2019
1012,Grove Farm Seamer,No trend,0.015384615,0.000426366,48,10/1/1975,10/1/2022
1013,Stores Cottage,No trend,-0.284848485,0.022387955,28,10/1/1972,10/1/1999
1014,Pear Tree Cottage,No trend,0.261111111,0.167898192,9,10/1/2013,10/1/2021
1015,King Georges Field Folkestone,Slow increasing,-11.15420687,0.297803472,13,10/1/2011,10/1/2023
1016,King Georges Field Hythe,No trend,-1.538372406,0.075149728,1,10/1/2021,10/1/2021
1017,Wolverton Townsend,Slow increasing,-9.908668831,0.303066013,4,10/1/2011,10/1/2014
1018,Kings Wood,No trend,-1.349349706,0.116649712,2,10/1/2018,10/1/2019
1019,Fairford FC,Sudden upward change,-4.779618223,0.821327966,2,10/1/2018,10/1/2019
1020,Downhill,Slow decreasing,3.551073073,0.429219588,3,10/1/2016,10/1/2018
1021,Diamond Hall,Slow increasing,-23.94429512,0.961556025,30,10/1/1979,10/1/2008
1023,St Marys School,No trend,0.384961674,0.075197413,2,10/1/1994,10/1/1995
1024,Kingstanding,No trend,-1.866755679,0.052853863,46,10/1/1978,10/1/2023
1025,Quay Lane,No trend,-0.985286195,0.229682316,40,10/1/1984,10/1/2023
1026,Middleton Carr,No trend,-1.541666667,0.25149485,33,10/1/1990,10/1/2022
1027,Came Estate Dairy,No trend,-0.658934407,0.105928945,33,10/1/1991,10/1/2023
1028,Stodmarsh Court,No trend,-0.442458184,0.027883496,52,10/1/1972,10/1/2023
1029,Red Lodge,Slow decreasing,2.065509259,0.019745069,12,10/1/2007,10/1/2018
1030,Warren Farm 508,No trend,1.511935067,0.234592376,24,10/1/1982,10/1/2005
1031,Barton le Street,No trend,-1.991071429,0.125372638,33,10/1/1991,10/1/2023
1032,Missenden Abbey,No trend,-1.354166667,0.079008868,33,10/1/1991,10/1/2023
1033,Park Corner Farm,Slow increasing,-3.224710778,0.071917809,52,10/1/1972,10/1/2023
1034,Haynes Farm,Slow increasing,-15.16071429,0.709132749,29,10/1/1992,10/1/2020
1035,Hill Farm Epperstone,Sudden upward change,-4.465972222,0.718314367,11,10/1/1997,10/1/2007
1036,Bilsthorpe,Slow increasing,-13.5625,0.759474751,20,10/1/2004,10/1/2023
1037,Farningham,Slow increasing,-2.2,0.171489247,27,10/1/1996,10/1/2022
1038,Lower Rock Farm,Slow increasing,-8.305555556,0.67276073,23,10/1/1998,10/1/2020
1039,Dedham,Slow increasing,-8.483410494,0.566278562,43,10/1/1981,10/1/2023
1040,Bledlow Ridge,No trend,-0.355766554,0.000197234,32,10/1/1990,10/1/2021
1041,Cranwell,No trend,0.026388889,0.16091325,2,10/1/2018,10/1/2019
1042,Whixley Sandstone,Slow increasing,-2.483870968,0.219491065,24,10/1/1999,10/1/2022
1043,Frith Lane End,Slow decreasing,4.385813449,0.213975847,24,10/1/2000,10/1/2023
1044,Hyde Hall Farm,No trend,-0.737229437,0.059631413,13,10/1/2011,10/1/2023
1045,West Hill Village Hall,No trend,1.395543804,0.026328379,1,10/1/2014,10/1/2014
1046,Icknield Way,Slow decreasing,8.436237374,0.248903583,2,10/1/2002,10/1/2003
1047,Rew Corner,Slow increasing,-2.627705628,0.063013939,33,10/1/1991,10/1/2023
1048,Granny Bards Lane,No trend,-0.096153846,0.010829219,24,10/1/1997,10/1/2020
1049,Pella Farm,No trend,-1.669238683,0.41447875,50,10/1/1973,10/1/2022
1050,Walderton,Slow decreasing,3.706071429,0.109197277,30,10/1/1976,10/1/2005
1051,Fairford,Slow increasing,-6.987352193,0.475706459,11,10/1/1996,10/1/2006
1052,Droke Hanger,Slow increasing,-2.904479475,0.062911133,49,10/1/1975,10/1/2023
1053,IBM Greenford,Slow increasing,-61.06323529,0.986366186,17,10/1/1989,10/1/2005
1054,Broken Green,No trend,-1.589667277,0.008292311,25,10/1/1999,10/1/2023
1055,Fouralls,No trend,0.602597403,0.001261989,40,10/1/1972,10/1/2011
1056,Alresford Road Avington,No trend,0.427350427,0.344964553,2,10/1/2022,10/1/2023
1057,Coldblow,Slow decreasing,2.49936006,0.351579799,9,10/1/1974,10/1/1982
1058,Pyecombe Stables,Slow increasing,-12.67669901,0.032131079,25,10/1/1999,10/1/2023
1059,Berryfield Cottage,Slow decreasing,2.1375,0.371802748,3,10/1/1986,10/1/1988
1060,Walshford Sandstone,No trend,-0.712720654,0.312578063,40,10/1/1984,10/1/2023
1061,Greatwell,No trend,1.46786498,0.06702319,50,10/1/1972,10/1/2021
1062,Herrings Farm,No trend,-0.6778125,0.047700945,61,10/1/1963,10/1/2023
1063,Woodleys,No trend,1.458394955,0.156847366,57,10/1/1965,10/1/2021
1064,Chilton Farm,No trend,1.456529247,0.20897549,2,10/1/2015,10/1/2016
1067,Wallend,Slow increasing,-13.14947917,0.93843265,17,10/1/1983,10/1/1999
1068,Ewelme,Slow decreasing,4.598791736,0.029639649,32,10/1/1987,10/1/2018
1069,Lone Barn,No trend,-1.770233481,0.059269677,51,10/1/1972,10/1/2022
1070,Bicknor Park,No trend,-0.049124788,0.002897275,2,10/1/1986,10/1/1987
1071,Poplar Farm,Slow decreasing,3.984630835,0.744040899,22,10/1/1999,10/1/2020
1072,Bodham Hill,No trend,0.405172414,0.000539496,35,10/1/1985,10/1/2019
1073,Whistley Green,Slow increasing,-4.175625,0.537647916,8,10/1/2005,10/1/2012
1074,Standard Hill Farm,No trend,-1.316115702,0.004219211,23,10/1/1982,10/1/2004
1075,Woodgreen,No trend,-0.517361111,0.018262628,32,10/1/1992,10/1/2023
1076,Staffield,No trend,-0.708333333,0.274612071,45,10/1/1976,10/1/2020
1077,Hawgreen 3,No trend,-0.428822055,0.022965205,26,10/1/1995,10/1/2020
1078,Ollerton,No trend,0.231778426,0.00468407,23,10/1/1982,10/1/2004
1079,Parsons,Slow increasing,-11.05688705,0.614480332,42,10/1/1982,10/1/2023
1080,Scremby,Sudden downward change,5.392520197,0.771908475,15,10/1/1981,10/1/1995
1082,Hundon,No trend,-0.191919192,0.345344219,3,10/1/1989,10/1/1991
1083,The Sycamores,Slow decreasing,3.625739001,0.549192039,15,10/1/1973,10/1/1987
1084,Lunways Inn,Slow increasing,-3.111111111,0.280819688,36,10/1/1988,10/1/2023
1085,Ford Farm Cottages,No trend,-0.039588057,0.006023136,31,10/1/1959,10/1/1989
1086,East Herrington,Sudden upward change,-13.01947161,0.811891773,9,10/1/2001,10/1/2009
1087,Lechlade Ski Jump,No trend,-0.663040663,0.204369483,20,10/1/2004,10/1/2023
1088,Patshull,No trend,-0.339161706,0.019495121,30,10/1/1991,10/1/2020
1089,Orchard Dene Cottage,No trend,-0.387237762,0.207859405,25,10/1/1990,10/1/2014
1090,Newbald Lodge,Slow increasing,-6.382062197,0.164008665,32,10/1/1991,10/1/2022
1091,Firle Village,No trend,-0.194444444,0.02271308,49,10/1/1975,10/1/2023
1092,Russells Farm,No trend,-1.53200121,0.156259993,3,10/1/2021,10/1/2023
1093,River Hill,No trend,0.789604904,0.001996982,24,10/1/1994,10/1/2017
1094,Burton Shutts,Sudden upward change,-4.837488426,0.715935662,8,10/1/2005,10/1/2012
1096,Well Place,Slow decreasing,2.566607028,0.054899822,8,10/1/1982,10/1/1989
1097,Summerdown Farm,No trend,1.122638889,0.273911848,2,10/1/2022,10/1/2023
1098,The Holt,No trend,-0.276736111,0.00646691,60,10/1/1964,10/1/2023
1099,Lower Barpham,Slow increasing,-3.477642276,0.191522018,17,10/1/2007,10/1/2023
1100,Hughenden Church,No trend,0.294421204,0.005523677,11,10/1/2006,10/1/2016
1101,Conholt House,Slow decreasing,7.081081081,0.326174508,31,10/1/1986,10/1/2016
1102,Dalesdown,Slow increasing,-23.97051282,0.478759538,32,10/1/1992,10/1/2023
1103,Stoke Holy Cross,No trend,-0.263313088,0.03768463,33,10/1/1991,10/1/2023
1104,Waterditch Farm,No trend,-0.193939394,0.001323022,30,10/1/1984,10/1/2013
1106,Minchinhampton,Slow increasing,-6.763888889,0.576043514,3,10/1/2001,10/1/2003
1107,Butchers Lane,Slow increasing,-2.067066802,0.075385497,32,10/1/1992,10/1/2023
1108,Stein Refractories,No trend,-1.126893939,0.193748921,28,10/1/1996,10/1/2023
1109,Chalkpit Farm,No trend,-3.294285714,0.088022835,1,10/1/2005,10/1/2005
1110,Poplars Nursery,Slow increasing,-7.754285714,0.948869854,43,10/1/1976,10/1/2018
1111,Carrholme Bridge,No trend,-0.790460917,0.306374541,6,10/1/2004,10/1/2009
1112,Hamsey Place Farm,No trend,-0.378676471,0.132845551,48,10/1/1975,10/1/2022
1113,Mace Farm,No trend,0.286706349,0.003838067,23,10/1/1994,10/1/2016
1114,Bix Hall,Slow decreasing,2.287277537,0.025456195,30,10/1/1981,10/1/2010
1115,Top Plantation,No trend,-1.712962963,0.116705201,33,10/1/1991,10/1/2023
1116,Hodcott 2,No trend,-0.968260245,0.006846123,51,10/1/1973,10/1/2023
1117,Stoke Bridge,No trend,0.27168761,0.002066668,41,10/1/1982,10/1/2022
1119,Thorpe on the Hill,No trend,-1.356747419,0.338934625,9,10/1/1998,10/1/2006
1120,Maharajas Well,No trend,1.302536232,0.085561341,15,10/1/2001,10/1/2015
1121,Skillington,No trend,0.748844697,0.385164958,1,10/1/2008,10/1/2008
1122,My Lords Farm,Slow decreasing,6.912878788,0.207914478,20,10/1/1999,10/1/2018
1123,Whitters Copse,No trend,-1.159210526,0.562020803,5,10/1/2008,10/1/2012
1124,Charterhouse,No trend,-0.614285714,0.035327404,40,10/1/1976,10/1/2015
1125,Allans Farm,No trend,0.1015625,0.368738798,2,10/1/1992,10/1/1993
1126,Brookside Blewbury,No trend,-0.894074675,0.166798861,36,10/1/1988,10/1/2023
1127,Upgate Common,No trend,0.424242424,0.251527525,2,10/1/2016,10/1/2017
1128,Westmeston St Martin,No trend,0.627511125,0.001667449,49,10/1/1975,10/1/2023
1129,Moddershall,Sudden downward change,5.080208333,0.82989175,10,10/1/1981,10/1/1990
1130,City Hospital Nottingham,Slow increasing,-16.43205128,0.956280225,19,10/1/1992,10/1/2010
1131,Kingsclere,Slow increasing,-20.4229317,0.404382226,12,10/1/2008,10/1/2019
1132,Ford Lane,No trend,-0.978931032,0.453638039,2,10/1/2014,10/1/2015
1133,Monks Lane Corpusty,No trend,-0.271428571,0.037205764,35,10/1/1989,10/1/2023
1134,West Layton Farm,Slow increasing,-29.87490981,0.958330387,30,10/1/1975,10/1/2004
1136,Compton Shepherds Hill,Slow increasing,-4.812233393,0.107879091,51,10/1/1973,10/1/2023
1137,Warren Farm,No trend,-1.590928516,0.116379216,34,10/1/1990,10/1/2023
1138,Cherry Tree,No trend,1.173939394,0.567641114,22,10/1/1968,10/1/1989
1139,Thornton Farm,Slow increasing,-34.9386046,0.460360668,20,10/1/2003,10/1/2022
1140,Maidens Bower,Sudden upward change,-9.458333333,0.778970678,8,10/1/1991,10/1/1998
1142,Ashton,Sudden upward change,-8.90897419,0.705050551,8,10/1/1994,10/1/2001
1146,Abbey Arms Wood,Slow increasing,-86.78711235,0.984340123,12,10/1/2003,10/1/2014
1147,Three Bridges Saltfleetby,No trend,0.2,0.077558962,36,10/1/1982,10/1/2017
1148,Crofton Farm Burbage,No trend,0.105334138,0.002668107,17,10/1/1993,10/1/2009
1149,Kelham Hills,Slow decreasing,20.93525641,0.924443028,35,10/1/1967,10/1/2001
1151,Thurroclean,Slow increasing,-2.989600243,0.670465971,17,10/1/2005,10/1/2021
1152,Broughton,No trend,-1.990740741,0.200027987,33,10/1/1991,10/1/2023
1153,Teynham,No trend,-0.373057138,0.089601975,32,10/1/1982,10/1/2013
1155,Burlington,Slow increasing,-3.499554367,0.098997363,26,10/1/1996,10/1/2021
1156,Slough Grand Union,Slow increasing,-27.39339827,0.784165636,16,10/1/1998,10/1/2013
1157,Bleak Cottage,Slow increasing,-2.532738095,0.012592625,39,10/1/1985,10/1/2023
1158,Luxborough Lane,Slow increasing,-18.38287037,0.908836826,24,10/1/1986,10/1/2009
1159,Saltend,No trend,-1.446801347,0.676266351,22,10/1/1979,10/1/2000
1160,Kinley Hill,No trend,-0.847171637,0.431117212,7,10/1/1991,10/1/1997
1161,Chalfont St Giles,Slow increasing,-4.33668619,0.034746123,33,10/1/1991,10/1/2023
1162,Cliff Lane,No trend,-0.126003086,0.034140936,26,10/1/1998,10/1/2023
1163,Sedgeford,No trend,1.998363095,0.17615405,13,10/1/2000,10/1/2012
1164,Peterlee,Sudden upward change,-27.88648598,0.976722095,3,10/1/2011,10/1/2013
1165,Osborne Road,Sudden downward change,115.9124556,0.981558722,14,10/1/2006,10/1/2019
1166,Avenue Small Farm,No trend,0.347886265,0.01349015,41,10/1/1982,10/1/2022
1167,Hackthorne,No trend,-0.35832139,0.097788376,22,10/1/1990,10/1/2011
1168,The Causeway Occold,Slow increasing,-3.877854076,0.305760637,39,10/1/1984,10/1/2022
1169,Alstonfield,Slow increasing,-3.413309074,0.029860981,32,10/1/1991,10/1/2022
1170,Uffcott,No trend,-1.805943283,0.018939999,19,10/1/1982,10/1/2000
1171,Swanbourne South,No trend,0.698416832,0.148139295,27,10/1/1977,10/1/2003
1172,Eggarton Manor,No trend,1.748917749,0.133347831,18,10/1/1966,10/1/1983
1173,Alciston,No trend,0.735968577,0.144491831,12,10/1/1985,10/1/1996
1174,Chale,Sudden upward change,-5.967013889,0.85761707,2,10/1/2012,10/1/2013
1175,Holt Lowes Plantation,No trend,0.575470421,0.216656406,10,10/1/2013,10/1/2022
1176,Foxton,No trend,1.891982323,0.026949302,17,10/1/2000,10/1/2016
1177,Owlhill,Slow decreasing,5.766666667,0.318714456,10,10/1/1987,10/1/1996
1178,South Charford Farm,No trend,-1.206597222,0.476005206,2,10/1/2022,10/1/2023
1179,Akeman Street,No trend,0.327020202,0.002247776,36,10/1/1981,10/1/2016
1180,Neasden,Slow increasing,-79.08871826,0.987650317,36,10/1/1973,10/1/2008
1181,Longridge End,Slow increasing,-15.48351354,0.478953931,4,10/1/1991,10/1/1994
1182,Wolverton,Slow increasing,-10.07760475,0.131928635,29,10/1/1995,10/1/2023
1183,Hayes Cottage,Slow increasing,-4.708910534,0.15219919,33,10/1/1991,10/1/2023
1184,Stitches Farm,No trend,-0.463285972,0.018144739,52,10/1/1972,10/1/2023
1185,Derwent Ford,Slow increasing,-4.615970934,0.658327811,28,10/1/1996,10/1/2023
1186,Runfold,Slow increasing,-2.804108875,0.065463973,20,10/1/1995,10/1/2014
1188,East Halton,No trend,-0.280475207,0.093419237,30,10/1/1990,10/1/2019
1189,Barton Hill Farm,No trend,-0.196224412,0.035273819,8,10/1/1982,10/1/1989
1190,Erlands House,No trend,-1.81890361,0.215367406,75,10/1/1949,10/1/2023
1191,Robin House,Sudden upward change,-70.8542723,0.988621173,13,10/1/1998,10/1/2010
1192,Claughton House,No trend,1.363157895,0.66397143,42,10/1/1980,10/1/2021
1193,Grimston Carr,No trend,1.703495999,0.068287335,9,10/1/2003,10/1/2011
1194,Highfield Farm Flamstead,Slow increasing,-6.621884933,0.216661582,29,10/1/1990,10/1/2018
1195,Elsenham Nurseries,Slow decreasing,3.70125,0.064103828,17,10/1/2001,10/1/2017
1196,Shifnal Upton Farm,Sudden upward change,-14.73615767,0.867360822,5,10/1/2006,10/1/2010
1197,Well House,No trend,0.850378788,0.13390873,43,10/1/1981,10/1/2023
1198,Archers Pond,Slow increasing,-4.913056992,0.474370234,32,10/1/1992,10/1/2023
1200,Barretts Hall,Slow decreasing,3.112945931,0.829688145,42,10/1/1967,10/1/2008
1202,Grange Farm Debenham,No trend,0.287152778,0.050265885,20,10/1/2001,10/1/2020
1203,Bell lane,Slow increasing,-13.70191839,0.788079442,50,10/1/1974,10/1/2023
1204,Tichborne,No trend,-0.022727273,0.078637885,26,10/1/1997,10/1/2022
1205,Little Witley,No trend,0.413436693,0.007810145,51,10/1/1972,10/1/2022
1206,Broadoak,No trend,1.319736087,0.153818033,23,10/1/2000,10/1/2022
1207,Wardlow,Slow decreasing,5.696291866,0.548461878,26,10/1/1973,10/1/1998
1208,Claredown farm,No trend,-0.347919383,0.07551209,28,10/1/1996,10/1/2023
1209,Highcliffe Farm,No trend,-1.6232493,0.082393388,14,10/1/2010,10/1/2023
1210,Cams Hill,No trend,1.097587719,0.008412565,51,10/1/1966,10/1/2016
